 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
524,303,4016.858,3383,5178,0.735,1.196,0.836,0.863
525,273,4351.513,3391,5695,0.857,1.104,0.906,0.895
526,277,4975.469,3397,6595,0.943,1.123,0.890,0.939
527,252,4652.591,3396,5984,0.899,1.248,0.801,0.935
528,269,4934.327,3400,6893,0.926,1.157,0.864,0.928
529,315,4144.083,3409,5166,0.812,1.360,0.735,0.913
530,264,4370.439,3400,5562,0.881,1.135,0.881,0.931
531,442,5139.023,3386,6825,0.917,1.070,0.934,0.943
532,404,5177.822,3382,6883,0.883,1.131,0.884,0.927
533,363,4594.656,3390,5969,0.920,1.174,0.852,0.942
534,230,5510.000,3423,7535,0.886,1.234,0.811,0.922
535,283,4055.212,3409,4827,0.826,1.184,0.844,0.922
536,305,4097.508,3387,5144,0.750,1.391,0.719,0.904
537,483,4479.166,3402,6042,0.835,1.581,0.632,0.933
538,236,3771.936,3382,4388,0.590,1.225,0.816,0.835
539,278,4694.137,3399,6276,0.870,1.272,0.786,0.921
540,271,4915.048,3397,6497,0.898,1.305,0.766,0.934
541,357,4658.807,3397,6116,0.904,1.158,0.864,0.942
542,283,4088.989,3382,5408,0.634,1.317,0.759,0.889
543,277,3821.152,3385,4670,0.560,1.256,0.796,0.809
544,289,4196.076,3400,5289,0.722,1.283,0.779,0.899
545,348,4691.718,3388,5955,0.876,1.035,0.966,0.922
546,408,4552.870,3393,6303,0.886,1.277,0.783,0.932
547,285,4935.186,3405,6776,0.869,1.423,0.703,0.944
548,262,5023.023,3386,6604,0.916,1.038,0.964,0.934
549,368,5243.413,3413,6681,0.911,1.197,0.835,0.939
550,300,4529.650,3382,5943,0.922,1.254,0.797,0.945
551,276,4078.438,3389,5267,0.678,1.344,0.744,0.887
552,282,4125.812,3382,5341,0.705,1.280,0.781,0.866
553,255,4309.380,3391,5753,0.851,1.166,0.858,0.921
554,252,5919.389,3420,8258,0.951,1.073,0.932,0.947
555,387,4989.822,3411,6961,0.892,1.288,0.777,0.937
556,295,4524.766,3385,6063,0.893,1.099,0.910,0.916
557,250,3823.292,3402,4532,0.657,1.110,0.901,0.856
558,285,4602.249,3383,5881,0.885,1.263,0.792,0.930
559,273,3969.736,3384,4596,0.800,1.329,0.752,0.912
560,296,4143.503,3382,5293,0.802,1.380,0.725,0.893
561,297,4700.539,3385,6917,0.867,1.416,0.706,0.914
562,299,4255.398,3385,5519,0.765,1.345,0.743,0.894
563,266,5289.335,3387,7111,0.888,1.300,0.769,0.922
564,352,3902.213,3383,5075,0.686,1.457,0.686,0.899
565,303,4066.541,3388,5395,0.654,1.256,0.796,0.887
566,280,4278.468,3400,5390,0.705,1.446,0.692,0.892
567,265,5037.279,3387,6881,0.885,1.233,0.811,0.930
568,498,6267.777,3398,8428,0.921,1.158,0.864,0.955
569,252,4094.381,3386,5159,0.806,1.307,0.765,0.903
570,247,5390.170,3437,7172,0.899,1.111,0.900,0.932
571,299,4590.087,3392,6028,0.902,1.149,0.871,0.939
572,419,6079.499,3382,8711,0.896,1.320,0.757,0.943
573,226,6688.080,3403,10051,0.935,1.131,0.884,0.938
574,416,4688.329,3383,6751,0.855,1.435,0.697,0.935
575,440,5570.336,3394,7506,0.880,1.153,0.867,0.940
576,274,4292.843,3424,5298,0.867,1.610,0.621,0.930
577,298,4372.678,3392,5295,0.794,1.711,0.584,0.914
578,480,5549.442,3413,7368,0.870,1.341,0.745,0.944
579,478,5961.406,3389,8148,0.892,1.148,0.871,0.936
580,302,4213.450,3384,5372,0.833,1.283,0.780,0.912
581,285,4480.305,3425,6170,0.812,1.267,0.789,0.908
582,498,4631.187,3385,6388,0.830,1.386,0.721,0.928
583,277,4683.343,3399,6034,0.925,1.040,0.962,0.942
584,289,4215.118,3386,5701,0.803,1.138,0.879,0.878
585,266,6002.316,3410,8072,0.898,1.412,0.708,0.932
586,299,4486.328,3440,5368,0.902,1.392,0.718,0.945
587,440,7014.630,3382,10686,0.873,1.281,0.781,0.936
588,346,4610.965,3390,5946,0.891,1.077,0.929,0.934
589,382,4093.516,3385,5190,0.835,1.335,0.749,0.924
590,386,4651.746,3398,5931,0.801,1.539,0.650,0.923
591,305,3954.744,3383,5175,0.585,1.227,0.815,0.868
592,280,5327.114,3386,7061,0.971,1.206,0.829,0.952
593,271,4442.410,3412,5699,0.905,1.287,0.777,0.931
594,300,4096.110,3383,5109,0.768,1.139,0.878,0.909
595,445,5200.647,3382,6877,0.890,1.178,0.849,0.935
596,272,4162.169,3406,5377,0.780,1.320,0.758,0.917
597,181,3703.348,3383,4363,0.575,1.232,0.812,0.772
598,263,4954.373,3383,6721,0.895,1.124,0.890,0.926
599,264,4087.670,3389,5145,0.793,1.564,0.639,0.889
600,481,7497.879,3427,11349,0.884,1.097,0.912,0.938
601,417,5093.638,3393,6399,0.870,1.461,0.685,0.940
602,280,4782.768,3404,5945,0.877,1.288,0.777,0.929
603,252,5690.849,3393,7874,0.943,1.021,0.979,0.944
604,267,5350.663,3396,6972,0.934,1.209,0.827,0.942
605,252,5640.266,3400,7819,0.943,1.056,0.947,0.939
606,158,8703.285,3476,17326,0.852,1.706,0.586,0.924
607,320,4057.606,3384,5780,0.865,1.080,0.926,0.912
608,425,4186.602,3383,5490,0.757,1.448,0.690,0.899
609,309,4115.722,3395,5638,0.643,1.299,0.770,0.882
610,286,4582.556,3393,6067,0.795,1.669,0.599,0.899
611,336,4210.661,3394,5553,0.826,1.337,0.748,0.935
612,487,6190.318,3401,8723,0.914,1.197,0.836,0.949
613,232,3835.065,3384,4437,0.524,1.242,0.805,0.818
614,271,4526.074,3383,5906,0.871,1.235,0.809,0.930
615,301,3965.252,3384,5051,0.705,1.426,0.701,0.879
616,413,4823.673,3433,6851,0.902,1.250,0.800,0.938
617,319,5741.984,3405,7712,0.915,1.078,0.928,0.938
618,315,4197.622,3393,6016,0.851,1.286,0.778,0.921
619,196,7250.949,3403,11134,0.922,1.343,0.744,0.936
620,266,4584.060,3392,5541,0.881,1.168,0.856,0.911
621,319,3977.840,3387,4979,0.822,1.228,0.814,0.891
622,316,4430.756,3387,5885,0.836,1.187,0.843,0.921
623,354,4621.483,3395,6096,0.882,1.138,0.879,0.924
624,273,4585.337,3384,6090,0.871,1.536,0.651,0.932
625,388,5522.041,3398,7332,0.927,1.076,0.929,0.953
626,298,4919.946,3383,6450,0.926,1.251,0.799,0.940
627,419,6673.322,3418,9348,0.864,1.254,0.797,0.943
628,224,3774.018,3382,4428,0.525,1.105,0.905,0.767
629,367,8674.406,3385,16487,0.694,1.751,0.571,0.847
630,266,4245.534,3390,5587,0.905,1.296,0.771,0.937
631,290,4580.203,3395,6064,0.878,1.520,0.658,0.932
632,278,3942.730,3385,4751,0.711,1.201,0.833,0.891
633,325,5421.766,3389,7190,0.887,1.116,0.896,0.927
634,270,4164.630,3382,5138,0.732,1.487,0.673,0.887
635,283,4248.996,3389,5785,0.773,1.170,0.855,0.904
636,404,4503.993,3400,5865,0.845,1.374,0.728,0.927
637,289,4442.803,3382,6071,0.898,1.373,0.728,0.929
638,363,5077.441,3385,6620,0.926,1.162,0.861,0.947
639,319,3955.962,3390,4906,0.644,1.455,0.687,0.886
640,273,3778.784,3388,5089,0.694,1.350,0.741,0.872
641,442,6935.939,3386,9473,0.917,1.113,0.899,0.950
642,312,4091.619,3383,5138,0.785,1.328,0.753,0.911
643,272,4244.588,3382,5336,0.691,1.460,0.685,0.879
644,299,5117.201,3397,6897,0.919,1.342,0.745,0.945
645,236,3954.102,3383,5115,0.567,1.290,0.775,0.827
646,466,5241.361,3410,6813,0.932,1.101,0.908,0.952
647,496,5817.798,3407,8980,0.524,2.408,0.415,0.810
648,301,4890.216,3402,6226,0.908,1.159,0.863,0.939
649,272,4283.037,3388,5439,0.823,1.276,0.784,0.920
650,500,5771.066,3383,8184,0.946,1.141,0.876,0.955
651,277,3783.458,3391,5034,0.665,1.444,0.693,0.858
652,368,4757.416,3386,6526,0.890,1.267,0.789,0.935
653,364,4780.041,3389,6230,0.828,1.497,0.668,0.916
654,283,4507.926,3408,5952,0.920,1.182,0.846,0.943
655,297,4034.519,3386,5192,0.771,1.427,0.701,0.897
656,362,6754.387,3427,9491,0.933,1.065,0.939,0.941
657,261,4682.977,3432,6082,0.888,1.245,0.803,0.926
658,276,3890.949,3383,5226,0.632,1.535,0.651,0.836
659,280,4061.700,3385,5113,0.778,1.078,0.928,0.912
660,419,4114.442,3382,5168,0.793,1.232,0.812,0.916
661,269,4575.030,3399,5824,0.959,1.039,0.962,0.946
662,275,4202.305,3389,5482,0.711,1.232,0.812,0.872
